pickup_location_id,zone_average_fare,zone_total_trips,overall_avg_fare,difference
193,7.76,24055,14.84,7.08
237,9.94,1687005,14.84,4.9
141,10.6,937556,14.84,4.24
236,10.64,1502028,14.84,4.2
229,10.82,756895,14.84,4.02
142,11.08,1168375,14.84,3.76
207,11.18,3101,14.84,3.66
263,11.18,757821,14.84,3.66
234,11.26,947413,14.84,3.58
143,11.27,439283,14.84,3.57
239,11.28,1025952,14.84,3.56
137,11.47,444077,14.84,3.37
43,11.5,604204,14.84,3.34
90,11.57,612861,14.84,3.27
238,11.57,757182,14.84,3.27
113,11.73,473853,14.84,3.11
162,11.76,1171295,14.84,3.08
249,11.86,752180,14.84,2.98
262,11.88,483576,14.84,2.96
170,11.89,1110153,14.84,2.95
107,11.89,843663,14.84,2.95
140,11.9,729986,14.84,2.94
30,11.92,62,14.84,2.92
151,12.04,332446,14.84,2.8
114,12.1,433094,14.84,2.74
79,12.13,934087,14.84,2.71
161,12.14,1440339,14.84,2.7
164,12.33,796326,14.84,2.51
186,12.38,1176656,14.84,2.46
75,12.4,242675,14.84,2.44
50,12.4,273902,14.84,2.44
246,12.49,541236,14.84,2.35
163,12.55,1017549,14.84,2.29
48,12.56,1099253,14.84,2.28
100,12.57,586939,14.84,2.27
233,12.83,467954,14.84,2.01
74,12.84,97586,14.84,2
68,12.87,901392,14.84,1.97
24,12.88,115618,14.84,1.96
41,13.03,107824,14.84,1.81
211,13.11,260438,14.84,1.73
158,13.19,275064,14.84,1.65
125,13.21,182979,14.84,1.63
144,13.28,298294,14.84,1.56
224,13.32,54575,14.84,1.52
166,13.7,196762,14.84,1.14
148,14.1,361454,14.84,0.74
230,14.21,1110695,14.84,0.63
152,14.22,30651,14.84,0.62
231,14.47,510053,14.84,0.37
4,14.83,44795,14.84,0.01
42,15.24,38578,14.84,-0.4
146,15.45,21056,14.84,-0.61
7,15.6,21595,14.84,-0.76
116,16.4,34132,14.84,-1.56
179,16.41,7209,14.84,-1.57
45,16.42,46737,14.84,-1.58
232,17.13,47961,14.84,-2.29
145,17.28,33749,14.84,-2.44
209,17.6,65918,14.84,-2.76
13,17.82,212003,14.84,-2.98
87,18.09,210653,14.84,-3.25
261,18.15,179939,14.84,-3.31
6,18.26,132,14.84,-3.42
12,18.27,15381,14.84,-3.43
97,18.64,15617,14.84,-3.8
52,18.69,8660,14.84,-3.85
88,18.76,99520,14.84,-3.92
244,19.06,29964,14.84,-4.22
112,19.51,8816,14.84,-4.67
40,19.7,5789,14.84,-4.86
255,19.73,18206,14.84,-4.89
25,19.81,17143,14.84,-4.97
65,19.93,27858,14.84,-5.09
256,19.99,15271,14.84,-5.15
66,20.47,12227,14.84,-5.63
34,20.61,993,14.84,-5.77
33,20.76,22906,14.84,-5.92
168,20.98,4995,14.84,-6.14
159,21.04,2108,14.84,-6.2
181,21.08,13134,14.84,-6.24
190,21.18,839,14.84,-6.34
217,21.37,1252,14.84,-6.53
264,22.45,422559,14.84,-7.61
189,22.46,4197,14.84,-7.62
83,22.6,1687,14.84,-7.76
54,22.85,679,14.84,-8.01
49,23.24,5694,14.84,-8.4
247,23.29,3632,14.84,-8.45
226,23.34,29845,14.84,-8.5
80,23.64,9503,14.84,-8.8
105,23.69,12,14.84,-8.85
17,23.7,4641,14.84,-8.86
243,24.27,5659,14.84,-9.43
36,24.39,3391,14.84,-9.55
173,24.4,725,14.84,-9.56
69,24.45,1931,14.84,-9.61
260,24.75,7641,14.84,-9.91
37,24.95,4944,14.84,-10.11
147,25.16,529,14.84,-10.32
106,25.18,2186,14.84,-10.34
153,25.43,366,14.84,-10.59
129,25.62,8398,14.84,-10.78
167,25.69,1300,14.84,-10.85
111,25.7,39,14.84,-10.86
60,26.05,522,14.84,-11.21
225,26.27,3998,14.84,-11.43
202,26.43,1405,14.84,-11.59
128,26.45,221,14.84,-11.61
220,26.55,1343,14.84,-11.71
61,26.65,6987,14.84,-11.81
127,26.84,2275,14.84,-12
212,26.94,691,14.84,-12.1
94,27.15,503,14.84,-12.31
102,27.18,541,14.84,-12.34
198,27.31,1368,14.84,-12.47
188,27.45,4433,14.84,-12.61
182,27.72,1045,14.84,-12.88
126,27.77,603,14.84,-12.93
169,27.81,1227,14.84,-12.97
62,27.84,2033,14.84,-13
82,27.87,4289,14.84,-13.03
47,27.98,1016,14.84,-13.14
95,28,4057,14.84,-13.16
133,28.33,1010,14.84,-13.49
185,28.46,744,14.84,-13.62
228,28.59,2180,14.84,-13.75
119,28.65,1787,14.84,-13.81
59,28.66,25,14.84,-13.82
121,28.69,949,14.84,-13.85
208,28.77,716,14.84,-13.93
26,28.89,1117,14.84,-14.05
242,28.9,1647,14.84,-14.06
257,28.91,780,14.84,-14.07
165,28.93,1404,14.84,-14.09
135,29.09,1502,14.84,-14.25
78,29.23,1282,14.84,-14.39
72,29.28,1703,14.84,-14.44
71,29.49,1304,14.84,-14.65
9,29.51,344,14.84,-14.67
177,29.57,1733,14.84,-14.73
89,29.58,3461,14.84,-14.74
73,29.6,222,14.84,-14.76
199,30.08,12,14.84,-15.24
250,30.38,780,14.84,-15.54
77,30.52,699,14.84,-15.68
123,30.58,646,14.84,-15.74
85,30.58,1055,14.84,-15.74
35,30.66,1804,14.84,-15.82
258,30.73,681,14.84,-15.89
213,31.03,2068,14.84,-16.19
248,31.09,786,14.84,-16.25
195,31.17,2258,14.84,-16.33
241,31.22,1120,14.84,-16.38
192,31.22,366,14.84,-16.38
223,31.26,8668,14.84,-16.42
183,31.33,400,14.84,-16.49
70,31.55,137313,14.84,-16.71
3,31.62,510,14.84,-16.78
138,31.65,982930,14.84,-16.81
171,31.95,508,14.84,-17.11
67,32.24,502,14.84,-17.4
174,32.36,1033,14.84,-17.52
178,32.39,223,14.84,-17.55
91,32.42,1910,14.84,-17.58
92,32.56,1716,14.84,-17.72
76,32.58,3450,14.84,-17.74
20,32.59,595,14.84,-17.75
32,32.75,599,14.84,-17.91
63,32.81,827,14.84,-17.97
131,33.08,984,14.84,-18.24
227,33.16,554,14.84,-18.32
57,33.41,118,14.84,-18.57
218,33.65,1888,14.84,-18.81
240,34,130,14.84,-19.16
64,34.04,811,14.84,-19.2
18,34.25,996,14.84,-19.41
98,34.35,388,14.84,-19.51
58,34.66,45,14.84,-19.82
15,34.7,310,14.84,-19.86
16,34.75,513,14.84,-19.91
22,34.9,926,14.84,-20.06
122,35.09,441,14.84,-20.25
21,35.41,756,14.84,-20.57
175,35.68,267,14.84,-20.84
196,35.76,1933,14.84,-20.92
205,35.76,2078,14.84,-20.92
149,35.83,439,14.84,-20.99
157,35.9,2764,14.84,-21.06
31,36.25,226,14.84,-21.41
56,36.55,1763,14.84,-21.71
150,36.77,359,14.84,-21.93
96,36.92,99,14.84,-22.08
81,36.97,702,14.84,-22.13
160,37.14,719,14.84,-22.3
46,37.25,107,14.84,-22.41
51,37.26,2362,14.84,-22.42
259,37.47,716,14.84,-22.63
254,37.5,1815,14.84,-22.66
14,37.6,2077,14.84,-22.76
184,37.61,58,14.84,-22.77
136,37.66,1346,14.84,-22.82
235,37.71,1930,14.84,-22.87
39,38.74,2514,14.84,-23.9
200,39.02,693,14.84,-24.18
53,39.11,517,14.84,-24.27
191,39.25,1577,14.84,-24.41
252,39.31,440,14.84,-24.47
101,39.38,603,14.84,-24.54
194,40.18,1700,14.84,-25.34
28,40.3,2563,14.84,-25.46
155,40.41,1514,14.84,-25.57
154,40.55,250,14.84,-25.71
130,40.59,4339,14.84,-25.75
222,40.62,1151,14.84,-25.78
139,40.99,1073,14.84,-26.15
108,41.52,775,14.84,-26.68
8,41.69,252,14.84,-26.85
210,41.7,1337,14.84,-26.86
118,41.95,133,14.84,-27.11
29,42.31,851,14.84,-27.47
172,42.5,38,14.84,-27.66
19,43.22,604,14.84,-28.38
38,43.39,918,14.84,-28.55
197,43.75,3482,14.84,-28.91
134,43.97,3260,14.84,-29.13
11,44.28,454,14.84,-29.44
120,44.43,198,14.84,-29.59
253,44.45,124,14.84,-29.61
180,44.94,460,14.84,-30.1
203,45.15,1009,14.84,-30.31
124,45.49,784,14.84,-30.65
2,46.68,28,14.84,-31.84
201,46.76,414,14.84,-31.92
132,46.9,1721950,14.84,-32.06
187,47.88,29,14.84,-33.04
86,48.1,1316,14.84,-33.26
27,48.51,17,14.84,-33.67
215,49.48,4276,14.84,-34.64
93,49.49,5455,14.84,-34.65
214,49.86,63,14.84,-35.02
55,49.9,1562,14.84,-35.06
245,50.25,26,14.84,-35.41
10,50.79,12267,14.84,-35.95
115,51.55,50,14.84,-36.71
219,51.72,3933,14.84,-36.88
117,52.05,1296,14.84,-37.21
216,52.84,6437,14.84,-38
23,53.46,1108,14.84,-38.62
206,53.54,73,14.84,-38.7
176,56.5,18,14.84,-41.66
221,58.19,46,14.84,-43.35
99,58.55,13,14.84,-43.71
265,59.59,81258,14.84,-44.75
44,60.75,382,14.84,-45.91
109,61.97,43,14.84,-47.13
156,67.16,65,14.84,-52.32
5,68.21,547,14.84,-53.37
251,72.26,34,14.84,-57.42
84,76.48,14,14.84,-61.64
204,86.36,18,14.84,-71.52
1,88.77,8910,14.84,-73.93
