hour_of_day,total_trips,avg_distance_miles,avg_fare
0,977286,5.58,15.39
1,642954,5.55,14.14
2,427609,6.79,13.43
3,280724,9.69,14.26
4,190421,15.29,18.89
5,221936,44.41,21.53
6,553213,16.02,17.28
7,1032662,14.55,14.97
8,1372459,9.91,14.45
9,1532969,6.11,14.18
10,1687437,4.91,13.86
11,1832788,4.68,14.28
12,1978026,4.59,14.43
13,2017576,5.27,14.89
14,2162945,5.44,15.4
15,2218433,5.97,15.61
16,2204639,5.13,15.55
17,2405898,5.3,14.74
18,2530813,5.08,13.65
19,2284913,4.69,13.43
20,1965574,4.79,13.75
21,1885541,5.12,14.07
22,1736334,5.1,14.71
23,1399511,5.45,15.38
