year,month,total_trips,total_revenue,avg_fare
2021,1,1362358,16641340.77,12.22
2021,2,1364242,16768942.02,12.29
2021,3,1915179,23928723.43,12.49
2021,4,2160545,27917835.97,12.92
2021,5,2495172,32520803.58,13.03
2021,6,2820583,37748418.9,13.38
2021,7,2807221,38645504.73,13.77
2021,8,2774622,38921215.35,14.03
2021,9,2950256,42986906.33,14.57
2021,10,3448162,48081397.41,13.94
2021,11,3456429,49201150.22,14.23
2021,12,3196818,46126384.47,14.43
2022,1,2450039,32060065.73,13.09
2022,2,2962725,39306001.17,13.27
2022,3,3606564,50827569.76,14.09
2022,4,3579416,52330664.28,14.62
2022,5,3566290,54726071.58,15.35
2022,6,3533944,54580773.45,15.44
2022,7,3151588,47056418.57,14.93
2022,8,3128717,47051526.04,15.04
2022,9,3160919,50128957.21,15.86
2022,10,3647695,56627261.99,15.52
2022,11,3227021,49673664.47,15.39
