month,pickup_location_id,trip_volume,zone_rank
1,237,121108,1
1,236,120382,2
1,132,102539,3
1,161,87772,4
1,186,80108,5
2,237,141965,1
2,236,134356,2
2,161,113992,3
2,132,105113,4
2,142,97834,5
3,237,167472,1
3,236,151675,2
3,161,151549,3
3,132,151169,4
3,162,121652,5
4,237,170847,1
4,132,159638,2
4,236,151646,3
4,161,140021,4
4,142,118027,5
5,132,173886,1
5,237,172697,2
5,236,151787,3
5,161,137690,4
5,142,119767,5
6,237,169897,1
6,132,167947,2
6,236,148127,3
6,161,139087,4
6,142,116882,5
7,132,165462,1
7,161,133195,2
7,237,128811,3
7,186,113266,4
7,236,107018,5
8,132,176335,1
8,161,134404,2
8,237,130785,3
8,186,116599,4
8,236,108006,5
9,132,169903,1
9,237,145101,2
9,236,130907,3
9,161,116968,4
9,186,102912,5
10,132,187369,1
10,237,175528,2
10,236,156145,3
10,161,146692,4
10,142,125285,5
11,237,162794,1
11,132,162589,2
11,236,141979,3
11,161,138969,4
11,142,111446,5
